,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
420,420,1.7,0.52,3.2,0.7,0.287,2.4,0.6,21,0.2,2.5,2.4,0.42100000000000004,5.6,0.9,0.758,1.3,79,5.0,NBA,20.3,0.8,2.5,Kelly Oubre ,6.3,SF,0.7,0.6,3.3,WAS,0.48200000000000004
421,421,1.9,0.425,4.6,1.8,0.415,4.3,0.8,22,0.4,4.5,3.7,0.42,8.9,1.9,0.8,2.4,19,6.0,NBA,27.9,1.0,2.5,Kelly Oubre ,11.2,SF,0.8,1.0,5.5,WAS,0.521
423,423,3.0,0.496,6.0,1.7,0.353,4.9,1.7,29,0.3,4.5,4.7,0.431,10.9,2.0,0.778,2.5,82,52.0,NBA,26.1,1.4,2.6,Ersan Ilyasova ,13.1,PF,0.7,1.4,5.9,TOT,0.511
424,424,1.0,0.75,1.3,1.0,0.25,4.0,0.3,29,0.3,4.7,2.0,0.375,5.3,0.0,,0.0,3,0.0,NBA,20.7,0.7,1.7,Ersan Ilyasova ,5.0,PF,1.0,1.3,5.3,OKC,0.469
425,425,3.4,0.509,6.6,2.0,0.359,5.6,1.8,29,0.3,4.6,5.4,0.44,12.2,2.1,0.768,2.7,53,40.0,NBA,27.3,1.3,2.5,Ersan Ilyasova ,14.8,PF,0.6,1.5,5.9,PHI,0.522
426,426,2.3,0.455,5.2,1.2,0.348,3.5,1.7,29,0.3,4.2,3.6,0.41200000000000003,8.7,2.0,0.8,2.5,26,12.0,NBA,24.3,1.6,2.8,Ersan Ilyasova ,10.4,PF,0.8,1.3,5.8,ATL,0.48200000000000004
427,427,1.3,0.509,2.5,1.2,0.44799999999999995,2.6,1.0,25,0.2,1.0,2.5,0.478,5.1,1.1,0.735,1.5,22,5.0,NBA,15.0,1.0,1.3,James Ennis ,7.2,SF,0.7,0.9,1.9,TOT,0.593
428,428,0.0,,0.0,0.0,,0.0,0.3,25,0.0,0.0,0.0,,0.0,0.0,,0.0,3,0.0,NBA,2.3,0.0,0.3,James Ennis ,0.0,SF,0.0,0.0,0.0,MIA,
429,429,0.2,0.4,0.5,0.2,0.25,0.8,0.2,25,0.2,0.3,0.4,0.308,1.3,0.6,0.6,1.0,10,0.0,NBA,4.0,0.4,0.1,James Ennis ,1.6,SF,0.4,0.2,0.7,MEM,0.385
430,430,2.9,0.52,5.6,2.7,0.48,5.6,2.0,25,0.3,2.0,5.6,0.5,11.1,2.1,0.792,2.7,9,5.0,NBA,31.3,1.9,2.9,James Ennis ,15.9,SF,1.3,1.9,3.9,NOP,0.62
432,432,1.5,0.517,3.0,0.8,0.321,2.5,1.0,27,0.2,1.2,2.3,0.428,5.4,0.8,0.809,1.0,68,5.0,NBA,14.9,0.7,1.2,Mindaugas Kuzminskas ,6.3,SF,0.4,0.8,1.9,NYK,0.501
433,433,0.0,0.0,2.0,0.0,,0.0,0.0,28,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,1,0.0,NBA,2.0,0.0,0.0,Mindaugas Kuzminskas ,0.0,SF,0.0,0.0,0.0,NYK,0.0
434,434,3.4,0.5379999999999999,6.3,0.1,0.267,0.2,1.3,22,0.5,4.6,3.4,0.529,6.5,1.3,0.728,1.7,72,22.0,NBA,18.4,2.4,2.1,Willy Hernangomez ,8.2,C,0.6,1.4,7.0,NYK,0.5329999999999999
435,435,1.9,0.5529999999999999,3.5,0.1,0.33299999999999996,0.3,0.7,23,0.3,1.2,2.0,0.537,3.7,0.3,0.25,1.1,11,0.0,NBA,10.2,1.0,1.9,Willy Hernangomez ,4.4,C,0.5,1.1,2.2,NYK,0.5489999999999999
