PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Sean Kilpatrick (2015-2017),SG,BKN,27,3,"$2,252,852.00","$1,201,607.00",53.34%,"$750,951.00",2018
Jawun Evans (2017-2018),PG,LAC,21,2,"$2,193,857.00","$2,193,857.00",100.00%,"$1,096,929.00",2020
Tyler Dorsey (2017-2018),PG,ATL,21,2,"$2,193,857.00","$2,193,857.00",100.00%,"$1,096,929.00",2019
Thomas Bryant (2017-2018),C,LAL,20,2,"$2,193,857.00","$815,615.00",37.18%,"$1,096,929.00",2019
Cameron Oliver (2017-2018),F,HOU,21,2,"$2,193,857.00","$300,000.00",13.67%,"$1,096,929.00",2019
Daniel Theis (2017-2018),C,BOS,25,2,"$2,193,857.00","$815,615.00",37.18%,"$1,096,929.00",2019
Alfonzo McKinnie (2017-2018),PF,TOR,25,2,"$2,193,857.00","$100,000.00",4.56%,"$1,096,929.00",2019
Khem Birch (2017-2018),PF,ORL,25,2,"$2,193,857.00",-,-,"$1,096,929.00",2019
Dakari Johnson (2017-2018),C,OKC,22,2,"$2,193,857.00","$2,193,857.00",100.00%,"$1,096,929.00",2019
Brandon Paul (2017-2018),SG,SAS,26,2,"$2,193,857.00","$815,615.00",37.18%,"$1,096,929.00",2019
Jordan Bell (2017-2018),PF,GSW,22,2,"$2,193,857.00","$2,193,857.00",100.00%,"$1,096,929.00",2019
Brandon Rush (2017-2017),SG,MIL,32,1,"$2,116,955.00",-,-,"$2,116,955.00",2018
Aaron Brooks (2017-2017),PG,MIN,32,1,"$2,116,955.00",-,-,"$2,116,955.00",2018
Luc Richard Mbah a Moute (2017-2017),SF,HOU,31,1,"$2,116,955.00","$2,116,955.00",100.00%,"$2,116,955.00",2018
Damien Wilkins (2017-2017),SG,IND,37,1,"$2,116,955.00",-,-,"$2,116,955.00",2018
Marreese Speights (2017-2017),C,ORL,30,1,"$2,116,955.00","$2,116,955.00",100.00%,"$2,116,955.00",2018
JaVale McGee (2017-2017),C,GSW,29,1,"$2,116,955.00","$2,116,955.00",100.00%,"$2,116,955.00",2018
Anthony Morrow (2017-2017),SG,POR,32,1,"$2,116,955.00",-,-,"$2,116,955.00",2018
Michael Beasley (2017-2017),SF,NYK,28,1,"$2,116,955.00","$2,116,955.00",100.00%,"$2,116,955.00",2018
Josh Childress (2017-2017),SF,DEN,34,1,"$2,106,470.00",-,-,"$2,106,470.00",2018
Derrick Rose (2017-2017),PG,CLE,28,1,"$2,106,470.00","$2,106,470.00",100.00%,"$2,106,470.00",2018
Omri Casspi (2017-2017),SF,GSW,29,1,"$2,106,470.00","$2,106,470.00",100.00%,"$2,106,470.00",2018
Mario Chalmers (2017-2017),PG,MEM,31,1,"$2,106,470.00","$25,000.00",1.19%,"$2,106,470.00",2019
Joe Harris (2016-2017),SG,BKN,26,2,"$2,031,676.00","$980,431.00",48.26%,"$1,015,838.00",2018
Luke Babbitt (2017-2017),SF,ATL,28,1,"$1,974,159.00","$987,080.00",50.00%,"$1,974,159.00",2018
Christian Wood (2016-2017),PF,CHA,22,2,"$1,889,382.00","$874,636.00",46.29%,"$944,691.00",2018
Jordan Crawford (2016-2017),SG,NOP,28,2,"$1,882,637.00","$173,099.00",9.19%,"$941,319.00",2018
Jeremy Evans (2017-2017),SF,ATL,29,1,"$1,841,849.00",-,-,"$1,841,849.00",2018
Donald Sloan (2017-2017),PG,WAS,29,1,"$1,709,538.00",-,-,"$1,709,538.00",2018
Mike Scott (2017-2017),PF,WAS,29,1,"$1,709,538.00","$1,709,538.00",100.00%,"$1,709,538.00",2018
Johnny O'Bryant (2016-2017),C,CHA,24,2,"$1,685,788.00","$1,685,788.00",100.00%,"$842,894.00",2018
Christapher Johnson (2017-2017),SF,HOU,27,1,"$1,577,230.00",-,-,"$1,577,230.00",2018
Anthony Bennett (2017-2017),PF,PHX,24,1,"$1,577,230.00",-,-,"$1,577,230.00",2018
John Jenkins (2017-2017),SG,ATL,26,1,"$1,577,230.00",-,-,"$1,577,230.00",2018
Isaiah Canaan (2017-2017),PG,OKC,26,1,"$1,577,230.00",-,-,"$1,577,230.00",2018
Archie Goodwin (2017-2017),SG,POR,23,1,"$1,577,230.00",-,-,"$1,577,230.00",2018
Ian Clark (2017-2017),SG,NOP,26,1,"$1,577,230.00","$1,577,230.00",100.00%,"$1,577,230.00",2018
Willie Reed (2017-2017),PF,LAC,27,1,"$1,577,230.00",-,-,"$1,577,230.00",2018
James Jones (2016-2016),SG,CLE,36,1,"$1,551,659.00","$1,551,659.00",100.00%,"$1,551,659.00",2017
Metta World Peace (2016-2016),SF,LAL,37,1,"$1,551,659.00","$1,551,659.00",100.00%,"$1,551,659.00",2017
Elijah Millsap (2016-2017),SG,UTHSigned w/PHX,30,2,"$1,547,374.00","$23,069.00",1.49%,"$773,687.00",2018
Kendall Marshall (2017-2017),PG,MIL,26,1,"$1,524,305.00",-,-,"$1,524,305.00",2018
Jarell Eddie (2017-2017),SF,CHI,25,1,"$1,524,305.00",-,-,"$1,524,305.00",2018
Julyan Stone (2017-2017),PG,CHA,28,2,"$1,524,305.00","$1,524,305.00",100.00%,"$762,153.00",2018
Perry Jones III (2017-2017),SF,NOPSigned w/BOS,26,1,"$1,524,305.00",-,-,"$1,524,305.00",2018
James Young (2017-2017),SG,MIL,22,1,"$1,524,305.00",-,-,"$1,524,305.00",2018
K.J. McDaniels (2017-2017),SG,TOR,24,1,"$1,524,305.00",-,-,"$1,524,305.00",2018
Damjan Rudez (2017-2017),SF,ORL,31,1,"$1,524,305.00",-,-,"$1,524,305.00",2018
Shane Larkin (2017-2017),PG,BOS,24,1,"$1,524,305.00","$1,524,305.00",100.00%,"$1,524,305.00",2018
Okaro White (2016-2017),SF,MIA,25,2,"$1,523,606.00","$539,147.00",35.39%,"$761,803.00",2018
Markel Brown (2017-2017),SG,OKC,25,1,"$1,471,382.00",-,-,"$1,471,382.00",2018
Jordan Mickey (2017-2017),PF,MIA,23,1,"$1,471,382.00","$1,471,382.00",100.00%,"$1,471,382.00",2019
Briante Weber (2017-2017),SG,LAL,24,1,"$1,471,382.00","$50,000.00",3.40%,"$1,471,382.00",2018
Maalik Wayns (2017-2017),PG,DAL,26,1,"$1,471,382.00",-,-,"$1,471,382.00",2018
Vander Blue (2017-2017),SG,LAL,25,1,"$1,471,382.00","$50,000.00",3.40%,"$1,471,382.00",2018
Sheldon McLellan (2016-2017),SG,WAS,24,2,"$1,448,720.00","$543,471.00",37.51%,"$724,360.00",2018
Fred VanVleet (2016-2017),PG,TOR,23,2,"$1,448,720.00","$543,471.00",37.51%,"$724,360.00",2018
Bryn Forbes (2016-2017),SG,SAS,24,2,"$1,448,720.00","$543,471.00",37.51%,"$724,360.00",2018
Tim Quarterman (2016-2017),PG,HOUSigned w/POR,22,2,"$1,448,720.00","$543,471.00",37.51%,"$724,360.00",2018
Davis Bertans (2016-2017),SF,SAS,0,2,"$1,448,720.00","$1,448,720.00",100.00%,"$724,360.00",2018
Patrick McCaw (2016-2017),SG,GSW,21,2,"$1,448,720.00","$1,448,720.00",100.00%,"$724,360.00",2018
David Nwaba (2016-2017),SG,CHISigned w/LAL,24,2,"$1,386,139.00","$73,528.00",5.30%,"$693,070.00",2018
Gary Payton II (2016-2017),PG,MIL,24,2,"$1,347,777.00","$35,166.00",2.61%,"$673,889.00",2018
Ty Lawson (2016-2016),PG,SAC,29,1,"$1,315,448.00","$1,315,448.00",100.00%,"$1,315,448.00",2017
Jarrod Uthoff (2017-2017),PF,IND,24,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Bobby Brown (2017-2017),PG,HOU,33,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Cliff Alexander (2017-2017),PF,NOP,21,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
DeQuan Jones (2017-2017),SF,IND,27,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Carrick Felix (2017-2017),SG,WAS,27,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Michael Gbinije (2017-2017),SG,GSW,25,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Georges Niang (2017-2017),SF,GSW,24,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Kyle Wiltjer (2017-2017),PF,TOR,24,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Marshall Plumlee (2017-2017),PF,LAC,25,1,"$1,312,611.00",-,-,"$1,312,611.00",2019
Marcus Georges-Hunt (2017-2017),SG,MIN,23,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Kalin Lucas (2017-2017),PG,ORL,28,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Larry Drew II (2017-2017),PG,MIA,27,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Stephen Zimmerman (2017-2017),C,LAL,21,1,"$1,312,611.00",-,-,"$1,312,611.00",2018
Brandon Jennings (2016-2016),PG,WAS,28,1,"$1,200,000.00","$1,200,000.00",100.00%,"$1,200,000.00",2017
Thomas Robinson (2016-2016),PF,LAL,26,1,"$1,050,961.00","$1,050,961.00",100.00%,"$1,050,961.00",2017
Brian Roberts (2016-2016),PG,CHA,31,1,"$1,050,961.00","$1,050,961.00",100.00%,"$1,050,961.00",2017
Kennedy Meeks (2017-2017),PF,TOR,22,1,"$815,615.00",-,-,"$815,615.00",2018
L.J. Peak (2017-2017),SG,BOS,21,1,"$815,615.00",-,-,"$815,615.00",2018
George De Paula (2017-2017),PG,HOU,21,1,"$815,615.00",-,-,"$815,615.00",2018
Jeremy Morgan (2017-2017),G,MEM,22,1,"$815,615.00",-,-,"$815,615.00",2018
Luke Petrasek (2017-2017),F,CHA,0,1,"$815,615.00",-,-,"$815,615.00",2018
Maxi Kleber (2017-2017),F,DAL,25,1,"$815,615.00","$815,615.00",100.00%,"$815,615.00",2019
Derek Willis (2017-2017),F,DET,22,1,"$815,615.00",-,-,"$815,615.00",2018
